2021-06-13 10:49:57.491104 [47.106583333, 7.216751833] 251.33 2.3809395013757255 None 0 0 Started autonomous drive 
2021-06-13 10:49:57.495000 [47.106583333, 7.216751833] 251.33 2.3809395013757255 (47.106653985807164, 7.216847330313385) 31.0 -92.0 turn_to_on_spot 42.61329629667324 151.28329629667326 2 
2021-06-13 10:49:57.596882 [47.106583333, 7.216751833] 251.33 2.3809395013757255 (47.106653985807164, 7.216847330313385) 31.0 -92.0 turn_to_on_spot 42.61329629667324 151.28329629667326 2 
2021-06-13 10:49:57.698508 [47.106583333, 7.216751833] 252.37 2.3809395013757255 (47.106653985807164, 7.216847330313385) 30.0 -91.0 turn_to_on_spot 42.61329629667324 150.24329629667324 2 
2021-06-13 10:49:57.800243 [47.106583333, 7.216751833] 252.37 2.3809395013757255 (47.106653985807164, 7.216847330313385) 30.0 -91.0 turn_to_on_spot 42.61329629667324 150.24329629667324 2 
2021-06-13 10:49:57.903260 [47.106583333, 7.216751833] 254.56 2.3809395013757255 (47.106653985807164, 7.216847330313385) 30.0 -90.0 turn_to_on_spot 42.61329629667324 148.05329629667324 2 
2021-06-13 10:49:58.004886 [47.106583333, 7.216751833] 255.88 2.3809395013757255 (47.106653985807164, 7.216847330313385) 30.0 -90.0 turn_to_on_spot 42.61329629667324 146.73329629667325 2 
2021-06-13 10:49:58.106504 [47.106583333, 7.216751833] 258.57 2.3809395013757255 (47.106653985807164, 7.216847330313385) 29.0 -88.0 turn_to_on_spot 42.61329629667324 144.04329629667325 2 
2021-06-13 10:49:58.208139 [47.106582833, 7.216750667] 259.68 0.0 (47.106653985807164, 7.216847330313385) 29.0 -87.0 turn_to_on_spot 42.61329629667324 142.93329629667323 2 
2021-06-13 10:49:58.313462 [47.106582833, 7.216750667] 263.78 0.0 (47.106653985807164, 7.216847330313385) 29.0 -86.0 turn_to_on_spot 42.61329629667324 140.16329629667325 2 
2021-06-13 10:49:58.416837 [47.106582833, 7.216750667] 265.16 0.0 (47.106653985807164, 7.216847330313385) 28.0 -84.0 turn_to_on_spot 42.61329629667324 137.45329629667322 2 
2021-06-13 10:49:58.519340 [47.106582833, 7.216750667] 271.34 0.0 (47.106653985807164, 7.216847330313385) 27.0 -81.0 turn_to_on_spot 42.61329629667324 131.27329629667327 2 
2021-06-13 10:49:58.621390 [47.106582833, 7.216750667] 276.33 0.0 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 42.61329629667324 126.28329629667326 2 
2021-06-13 10:49:58.723012 [47.106582833, 7.216750667] 279.45 0.0 (47.106653985807164, 7.216847330313385) 25.0 -76.0 turn_to_on_spot 42.61329629667324 123.16329629667325 2 
2021-06-13 10:49:58.824551 [47.106582833, 7.216750667] 282.77 0.0 (47.106653985807164, 7.216847330313385) 25.0 -75.0 turn_to_on_spot 42.61329629667324 119.84329629667326 2 
2021-06-13 10:49:58.926279 [47.106582833, 7.216750667] 289.79 0.0 (47.106653985807164, 7.216847330313385) 24.0 -71.0 turn_to_on_spot 42.61329629667324 112.82329629667322 2 
2021-06-13 10:49:59.027870 [47.106582833, 7.216750667] 293.31 0.0 (47.106653985807164, 7.216847330313385) 23.0 -69.0 turn_to_on_spot 42.61329629667324 109.30329629667324 2 
2021-06-13 10:49:59.129536 [47.106582833, 7.216750667] 298.44 0.0 (47.106653985807164, 7.216847330313385) 22.0 -66.0 turn_to_on_spot 42.61329629667324 104.17329629667324 2 
2021-06-13 10:49:59.231195 [47.106582833, 7.216750667] 304.1 0.0 (47.106653985807164, 7.216847330313385) 21.0 -63.0 turn_to_on_spot 42.61329629667324 98.51329629667322 2 
2021-06-13 10:49:59.333049 [47.106582833, 7.216750667] 307.9 0.0 (47.106653985807164, 7.216847330313385) 20.0 -61.0 turn_to_on_spot 42.61329629667324 94.71329629667326 2 
2021-06-13 10:49:59.435383 [47.106582833, 7.216750667] 311.74 0.0 (47.106653985807164, 7.216847330313385) 19.0 -58.0 turn_to_on_spot 42.61329629667324 90.87329629667323 2 
2021-06-13 10:49:59.536988 [47.106582833, 7.216750667] 313.66 0.0 (47.106653985807164, 7.216847330313385) 19.0 -57.0 turn_to_on_spot 42.61329629667324 88.95329629667322 2 
2021-06-13 10:49:59.638643 [47.106582833, 7.216750667] 321.17 0.0 (47.106653985807164, 7.216847330313385) 18.0 -53.0 turn_to_on_spot 42.61329629667324 81.44329629667322 2 
2021-06-13 10:49:59.740383 [47.106582833, 7.216750667] 326.61 0.0 (47.106653985807164, 7.216847330313385) 17.0 -50.0 turn_to_on_spot 42.61329629667324 76.00329629667323 2 
2021-06-13 10:49:59.842042 [47.106582833, 7.216750667] 330.21 0.0 (47.106653985807164, 7.216847330313385) 16.0 -48.0 turn_to_on_spot 42.61329629667324 72.40329629667326 2 
2021-06-13 10:49:59.943757 [47.106582667, 7.216749667] 333.9 0.10569894489424635 (47.106653985807164, 7.216847330313385) 15.0 -46.0 turn_to_on_spot 42.61329629667324 68.71329629667326 2 
2021-06-13 10:50:00.046688 [47.106582667, 7.216749667] 337.45 0.10569894489424635 (47.106653985807164, 7.216847330313385) 15.0 -45.0 turn_to_on_spot 42.61329629667324 66.84329629667326 2 
2021-06-13 10:50:00.148394 [47.106582667, 7.216749667] 343.05 0.10569894489424635 (47.106653985807164, 7.216847330313385) 14.0 -41.0 turn_to_on_spot 42.61329629667324 59.56329629667323 2 
2021-06-13 10:50:00.250030 [47.106582667, 7.216749667] 344.85 0.10569894489424635 (47.106653985807164, 7.216847330313385) 13.0 -40.0 turn_to_on_spot 42.61329629667324 57.76329629667322 2 
2021-06-13 10:50:00.351911 [47.106582667, 7.216749667] 351.75 0.0 (47.106653985807164, 7.216847330313385) 12.0 -36.0 turn_to_on_spot 42.61329629667324 50.86329629667324 2 
2021-06-13 10:50:00.453956 [47.106582667, 7.216749667] 351.75 0.0 (47.106653985807164, 7.216847330313385) 12.0 -36.0 turn_to_on_spot 42.61329629667324 50.86329629667324 2 
2021-06-13 10:50:00.555883 [47.106582667, 7.216749667] 1.48 0.0 (47.106653985807164, 7.216847330313385) 10.0 -31.0 turn_to_on_spot 42.61329629667324 41.13329629667328 2 
2021-06-13 10:50:00.657511 [47.106582667, 7.216749667] 6.29 0.0 (47.106653985807164, 7.216847330313385) 9.0 -28.0 turn_to_on_spot 42.61329629667324 36.32329629667322 2 
2021-06-13 10:50:00.759171 [47.106582667, 7.216749667] 9.48 0.0 (47.106653985807164, 7.216847330313385) 9.0 -26.0 turn_to_on_spot 42.61329629667324 33.13329629667328 2 
2021-06-13 10:50:00.860989 [47.106582667, 7.216749667] 12.62 0.0 (47.106653985807164, 7.216847330313385) 8.0 -25.0 turn_to_on_spot 42.61329629667324 29.993296296673293 2 
2021-06-13 10:50:00.962623 [47.106582667, 7.216749667] 17.18 0.0 (47.106653985807164, 7.216847330313385) 7.0 -22.0 turn_to_on_spot 42.61329629667324 25.433296296673234 2 
2021-06-13 10:50:01.064275 [47.106582667, 7.216749667] 21.62 0.0 (47.106653985807164, 7.216847330313385) 7.0 -20.0 turn_to_on_spot 42.61329629667324 20.993296296673293 2 
2021-06-13 10:50:01.166002 [47.106582667, 7.216749667] 24.44 0.0 (47.106653985807164, 7.216847330313385) 6.0 -18.0 turn_to_on_spot 42.61329629667324 18.173296296673243 2 
2021-06-13 10:50:01.268491 [47.106582667, 7.216749667] 28.49 0.0 (47.106653985807164, 7.216847330313385) 5.0 -16.0 turn_to_on_spot 42.61329629667324 14.123296296673288 2 
2021-06-13 10:50:01.370850 [47.106582667, 7.216749667] 31.16 0.0 (47.106653985807164, 7.216847330313385) 5.0 -14.0 turn_to_on_spot 42.61329629667324 11.453296296673216 2 
2021-06-13 10:50:01.473092 [47.106582667, 7.216749667] 33.81 0.0 (47.106653985807164, 7.216847330313385) 4.0 -13.0 turn_to_on_spot 42.61329629667324 8.803296296673238 2 
2021-06-13 10:50:01.574758 [47.106582667, 7.216749667] 37.48 0.0 (47.106653985807164, 7.216847330313385) 4.0 -11.0 turn_to_on_spot 42.61329629667324 5.133296296673279 2 
2021-06-13 10:50:01.676409 [47.106582667, 7.216749667] 41.92 0.0 (47.106653985807164, 7.216847330313385) 3.0 -8.0 turn_to_on_spot 42.61329629667324 0.6932962966732248 1.9 
2021-06-13 10:50:01.778005 [47.106582667, 7.216749667] 44.1 0.0 (47.106653985807164, 7.216847330313385) 2.0 -7.0 turn_to_on_spot 42.61329629667324 -1.4867037033267252 1.8 
2021-06-13 10:50:01.879676 [47.106582667, 7.216749667] 45.19 0.0 (47.106653985807164, 7.216847330313385) 2.0 -7.0 turn_to_on_spot 42.61329629667324 -2.576703703326757 1.7 
2021-06-13 10:50:01.981257 [47.106582667, 7.216749667] 49.41 0.0 (47.106653985807164, 7.216847330313385) 1.0 -4.0 turn_to_on_spot 42.61329629667324 -6.796703703326784 2 
2021-06-13 10:50:02.082894 [47.106582667, 7.216749667] 51.43 0.0 (47.106653985807164, 7.216847330313385) 1.0 -3.0 turn_to_on_spot 42.61329629667324 -8.816703703326766 2 
2021-06-13 10:50:02.184667 [47.106585667, 7.2167485] 54.33 12.658781698748317 (47.106653985807164, 7.216847330313385) 0.0 -1.0 turn_to_on_spot 42.61329629667324 -11.716703703326743 2 
