2021-06-20 09:29:58.172590 [47.10667928304634, 7.216895029625229] 289.05 6.102033703113693 None 0 0 throttle 
2021-06-20 09:29:58.676117 [47.10667928304634, 7.216895029625229] 289.05 6.102033703113693 None 0 0 throttle 
2021-06-20 09:29:59.681557 [47.10667928304634, 7.216895029625229] 289.05 6.102033703113693 None 0 0 throttle 
2021-06-20 09:30:00.188750 [47.106672106081874, 7.216910139164799] 304.11 0.027773625812037156 None 0 0 throttle 
2021-06-20 09:31:34.624020 [47.106700667, 7.216975333] 325.71 0.0974102463855749 None 0 0 Started autonomous drive 
2021-06-20 09:31:34.628736 [47.106700667, 7.216975333] 325.71 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 29.515057787323258 2 
2021-06-20 09:31:34.731986 [47.106700667, 7.216975333] 325.71 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 29.515057787323258 2 
2021-06-20 09:31:34.850490 [47.106700667, 7.216975333] 325.71 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 29.515057787323258 2 
2021-06-20 09:31:34.952322 [47.106700667, 7.216975333] 325.71 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 29.515057787323258 2 
2021-06-20 09:31:35.054002 [47.106700667, 7.216975333] 325.71 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 29.515057787323258 2 
2021-06-20 09:31:35.155771 [47.106700667, 7.216975333] 326.72 0.0974102463855749 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 28.505057787323267 2 
2021-06-20 09:31:35.257645 [47.106700667, 7.216975333] 326.72 0.0 (47.10742237851838, 7.216886758706097) 12.0 -24.0 turn_to_on_spot 355.22505778732324 28.505057787323267 2 
2021-06-20 09:31:35.359499 [47.106700667, 7.216975333] 327.82 0.0 (47.10742237851838, 7.216886758706097) 12.0 -23.0 turn_to_on_spot 355.22505778732324 27.405057787323244 2 
2021-06-20 09:31:35.461493 [47.106700667, 7.216975333] 328.88 0.0 (47.10742237851838, 7.216886758706097) 12.0 -23.0 turn_to_on_spot 355.22505778732324 26.345057787323185 2 
2021-06-20 09:31:35.563843 [47.106700667, 7.216975333] 329.89 0.0 (47.10742237851838, 7.216886758706097) 11.0 -22.0 turn_to_on_spot 355.22505778732324 25.335057787323194 2 
2021-06-20 09:31:35.665998 [47.106700667, 7.216975333] 330.94 0.0 (47.10742237851838, 7.216886758706097) 10.0 -21.0 turn_to_on_spot 355.22505778732324 24.28505778732324 2 
2021-06-20 09:31:35.768287 [47.106700667, 7.216975333] 332.06 0.0 (47.10742237851838, 7.216886758706097) 10.0 -21.0 turn_to_on_spot 355.22505778732324 23.165057787323235 2 
2021-06-20 09:31:35.870277 [47.106700667, 7.216975333] 333.27 0.0 (47.10742237851838, 7.216886758706097) 10.0 -20.0 turn_to_on_spot 355.22505778732324 21.955057787323312 2 
2021-06-20 09:31:35.972947 [47.106700667, 7.216975333] 335.41 0.0 (47.10742237851838, 7.216886758706097) 10.0 -19.0 turn_to_on_spot 355.22505778732324 19.815057787323212 2 
2021-06-20 09:31:36.074718 [47.106700667, 7.216975333] 336.55 0.0 (47.10742237851838, 7.216886758706097) 9.0 -18.0 turn_to_on_spot 355.22505778732324 18.675057787323226 2 
2021-06-20 09:31:36.176429 [47.106700667, 7.216975333] 337.72 0.0 (47.10742237851838, 7.216886758706097) 9.0 -18.0 turn_to_on_spot 355.22505778732324 17.505057787323267 2 
2021-06-20 09:31:36.278252 [47.106700667, 7.216975333] 338.93 0.0 (47.10742237851838, 7.216886758706097) 8.0 -17.0 turn_to_on_spot 355.22505778732324 16.29505778732323 2 
2021-06-20 09:31:36.380112 [47.106700667, 7.216975333] 340.22 0.0 (47.10742237851838, 7.216886758706097) 8.0 -16.0 turn_to_on_spot 355.22505778732324 15.005057787323267 2 
2021-06-20 09:31:36.482046 [47.106700667, 7.216975333] 343.28 0.0 (47.10742237851838, 7.216886758706097) 8.0 -15.0 turn_to_on_spot 355.22505778732324 11.945057787323321 2 
2021-06-20 09:31:36.583799 [47.106700667, 7.216975333] 344.59 0.0 (47.10742237851838, 7.216886758706097) 7.0 -14.0 turn_to_on_spot 355.22505778732324 10.635057787323262 2 
2021-06-20 09:31:36.685829 [47.106700667, 7.216975333] 345.88 0.0 (47.10742237851838, 7.216886758706097) 6.0 -13.0 turn_to_on_spot 355.22505778732324 9.345057787323185 2 
2021-06-20 09:31:36.789527 [47.106700667, 7.216975333] 348.21 0.0 (47.10742237851838, 7.216886758706097) 6.0 -12.0 turn_to_on_spot 355.22505778732324 7.015057787323258 2 
2021-06-20 09:31:36.891766 [47.106700667, 7.216975333] 350.31 0.0 (47.10742237851838, 7.216886758706097) 6.0 -11.0 turn_to_on_spot 355.22505778732324 4.915057787323235 1.9 
2021-06-20 09:31:36.993543 [47.106700667, 7.216975333] 351.38 0.0 (47.10742237851838, 7.216886758706097) 5.0 -10.0 turn_to_on_spot 355.22505778732324 3.845057787323185 1.8 
2021-06-20 09:31:37.095261 [47.106700667, 7.216975333] 353.54 0.0 (47.10742237851838, 7.216886758706097) 4.0 -9.0 turn_to_on_spot 355.22505778732324 1.6850577873232169 1.7 
