2021-06-09 15:54:49.384613 [47.1066485, 7.216866333] 213.33 0.0 None 0 0 throttle 
2021-06-09 15:55:12.808128 [47.106686667, 7.216857333] 21.3 0.664699213444047 None 0 0 Started autonomous drive 
2021-06-09 15:55:12.810980 [47.106686667, 7.216857333] 21.3 0.664699213444047 (47.106653985807164, 7.216847330313385) 47.5 -95.0 turn_to_on_spot 191.76762484269267 170.46762484269266 2 
2021-06-09 15:55:12.912592 [47.106686667, 7.216857333] 21.3 0.664699213444047 (47.106653985807164, 7.216847330313385) 47.5 -95.0 turn_to_on_spot 191.76762484269267 170.46762484269266 2 
2021-06-09 15:55:13.014190 [47.106686667, 7.216857333] 22.31 0.664699213444047 (47.106653985807164, 7.216847330313385) 47.0 -94.0 turn_to_on_spot 191.76762484269267 169.45762484269267 2 
2021-06-09 15:55:13.116523 [47.106686667, 7.216857333] 23.37 0.664699213444047 (47.106653985807164, 7.216847330313385) 47.0 -94.0 turn_to_on_spot 191.76762484269267 168.39762484269272 2 
2021-06-09 15:55:13.219889 [47.106686667, 7.216857333] 25.94 0.0 (47.106653985807164, 7.216847330313385) 46.0 -92.0 turn_to_on_spot 191.76762484269267 165.82762484269267 2 
2021-06-09 15:55:13.322451 [47.106686667, 7.216857333] 27.22 0.0 (47.106653985807164, 7.216847330313385) 45.5 -91.0 turn_to_on_spot 191.76762484269267 164.5476248426927 2 
2021-06-09 15:55:13.424319 [47.1066875, 7.2168575] 29.57 0.4086869424856113 (47.106653985807164, 7.216847330313385) 45.0 -90.0 turn_to_on_spot 191.76762484269267 162.19762484269268 2 
2021-06-09 15:55:13.525829 [47.1066875, 7.2168575] 33.62 0.4086869424856113 (47.106653985807164, 7.216847330313385) 44.0 -88.0 turn_to_on_spot 191.76762484269267 158.14762484269272 2 
2021-06-09 15:55:13.627330 [47.1066875, 7.2168575] 35.22 0.4086869424856113 (47.106653985807164, 7.216847330313385) 43.5 -87.0 turn_to_on_spot 191.76762484269267 156.5476248426927 2 
2021-06-09 15:55:13.728944 [47.1066875, 7.2168575] 40.67 0.4086869424856113 (47.106653985807164, 7.216847330313385) 42.0 -84.0 turn_to_on_spot 191.76762484269267 151.09762484269265 2 
2021-06-09 15:55:13.830450 [47.1066875, 7.2168575] 45.66 0.4086869424856113 (47.106653985807164, 7.216847330313385) 40.5 -81.0 turn_to_on_spot 191.76762484269267 146.10762484269264 2 
2021-06-09 15:55:13.932085 [47.1066875, 7.2168575] 51.07 0.4086869424856113 (47.106653985807164, 7.216847330313385) 39.0 -78.0 turn_to_on_spot 191.76762484269267 140.69762484269268 2 
2021-06-09 15:55:14.033580 [47.1066875, 7.2168575] 57.83 0.4086869424856113 (47.106653985807164, 7.216847330313385) 37.0 -74.0 turn_to_on_spot 191.76762484269267 133.93762484269268 2 
2021-06-09 15:55:14.135683 [47.1066875, 7.2168575] 59.79 0.4086869424856113 (47.106653985807164, 7.216847330313385) 36.5 -73.0 turn_to_on_spot 191.76762484269267 131.97762484269265 2 
2021-06-09 15:55:14.237799 [47.1066875, 7.2168575] 61.74 0.4086869424856113 (47.106653985807164, 7.216847330313385) 36.0 -72.0 turn_to_on_spot 191.76762484269267 130.0276248426926 2 
2021-06-09 15:55:14.339874 [47.1066875, 7.2168575] 61.74 0.4086869424856113 (47.106653985807164, 7.216847330313385) 36.0 -72.0 turn_to_on_spot 191.76762484269267 130.0276248426926 2 
2021-06-09 15:55:14.441703 [47.1066875, 7.2168575] 68.26 0.0 (47.106653985807164, 7.216847330313385) 34.5 -69.0 turn_to_on_spot 191.76762484269267 123.50762484269262 2 
