2021-06-13 11:01:08.665994 [47.106585167, 7.2166775] 292.86 3.8462993918417046 None 0 0 Started autonomous drive 
2021-06-13 11:01:08.668660 [47.106585167, 7.2166775] 292.86 3.8462993918417046 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 59.2322227789582 126.37222277895819 2 
2021-06-13 11:01:08.770215 [47.106585167, 7.2166775] 292.86 3.8462993918417046 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 59.2322227789582 126.37222277895819 2 
2021-06-13 11:01:08.871933 [47.106585167, 7.2166775] 293.87 3.8462993918417046 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 59.2322227789582 125.3622227789582 2 
2021-06-13 11:01:08.973645 [47.106585167, 7.2166775] 293.87 3.8462993918417046 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 59.2322227789582 125.3622227789582 2 
2021-06-13 11:01:09.077053 [47.106585167, 7.2166775] 296.13 3.8462993918417046 (47.106653985807164, 7.216847330313385) 26.0 -77.0 turn_to_on_spot 59.2322227789582 124.1722227789582 2 
2021-06-13 11:01:09.179327 [47.106585167, 7.2166775] 297.13 0.0 (47.106653985807164, 7.216847330313385) 25.0 -76.0 turn_to_on_spot 59.2322227789582 122.10222277895821 2 
2021-06-13 11:01:09.281416 [47.106585167, 7.2166775] 299.59 0.0 (47.106653985807164, 7.216847330313385) 25.0 -74.0 turn_to_on_spot 59.2322227789582 119.64222277895823 2 
2021-06-13 11:01:09.383993 [47.106585167, 7.2166775] 302.5 0.0 (47.106653985807164, 7.216847330313385) 24.0 -73.0 turn_to_on_spot 59.2322227789582 116.7322227789582 2 
2021-06-13 11:01:09.485907 [47.106585167, 7.2166775] 304.65 0.0 (47.106653985807164, 7.216847330313385) 24.0 -72.0 turn_to_on_spot 59.2322227789582 114.58222277895823 2 
2021-06-13 11:01:09.587491 [47.106585167, 7.2166775] 308.45 0.0 (47.106653985807164, 7.216847330313385) 23.0 -70.0 turn_to_on_spot 59.2322227789582 110.78222277895821 2 
2021-06-13 11:01:09.689171 [47.106585167, 7.2166775] 311.35 0.0 (47.106653985807164, 7.216847330313385) 23.0 -68.0 turn_to_on_spot 59.2322227789582 107.88222277895818 2 
2021-06-13 11:01:09.790825 [47.106585167, 7.2166775] 314.34 0.0 (47.106653985807164, 7.216847330313385) 22.0 -66.0 turn_to_on_spot 59.2322227789582 104.89222277895823 2 
2021-06-13 11:01:09.892438 [47.106585167, 7.2166775] 318.85 0.0 (47.106653985807164, 7.216847330313385) 21.0 -64.0 turn_to_on_spot 59.2322227789582 100.38222277895818 2 
