2021-06-13 11:04:11.308285 [47.106594167, 7.2169465] 0 12.6615613248518 None 0 0 throttle 
2021-06-13 11:06:26.382018 [47.106558333, 7.2166085] 176.61 11.715060503750088 None 0 0 Started autonomous drive 
2021-06-13 11:06:26.384760 [47.106558333, 7.2166085] 176.61 11.715060503750088 (47.106653985807164, 7.216847330313385) -57.0 19.0 turn_to_on_spot 59.52617877584066 -117.08382122415935 2 
2021-06-13 11:06:26.486430 [47.106558333, 7.2166085] 175.61 11.715060503750088 (47.106653985807164, 7.216847330313385) -56.0 19.0 turn_to_on_spot 59.52617877584066 -116.08382122415935 2 
2021-06-13 11:06:26.599406 [47.106558333, 7.2166085] 174.53 11.715060503750088 (47.106653985807164, 7.216847330313385) -56.0 19.0 turn_to_on_spot 59.52617877584066 -115.00382122415931 2 
2021-06-13 11:06:26.701050 [47.106558333, 7.2166085] 174.53 11.715060503750088 (47.106653985807164, 7.216847330313385) -56.0 19.0 turn_to_on_spot 59.52617877584066 -115.00382122415931 2 
2021-06-13 11:06:26.802773 [47.106558333, 7.2166085] 173.48 11.715060503750088 (47.106653985807164, 7.216847330313385) -55.0 18.0 turn_to_on_spot 59.52617877584066 -113.95382122415936 2 
2021-06-13 11:06:26.904574 [47.106558333, 7.2166085] 172.33 11.715060503750088 (47.106653985807164, 7.216847330313385) -55.0 18.0 turn_to_on_spot 59.52617877584066 -112.80382122415938 2 
2021-06-13 11:06:27.006141 [47.106558333, 7.2166085] 171.1 11.715060503750088 (47.106653985807164, 7.216847330313385) -54.0 18.0 turn_to_on_spot 59.52617877584066 -111.57382122415936 2 
2021-06-13 11:06:27.109051 [47.106558333, 7.2166085] 170.06 11.715060503750088 (47.106653985807164, 7.216847330313385) -53.0 18.0 turn_to_on_spot 59.52617877584066 -110.53382122415934 2 
2021-06-13 11:06:27.211685 [47.106558333, 7.2166085] 168.92 0.0 (47.106653985807164, 7.216847330313385) -53.0 18.0 turn_to_on_spot 59.52617877584066 -109.3938212241593 2 
2021-06-13 11:06:27.313859 [47.106558333, 7.2166085] 165.34 0.0 (47.106653985807164, 7.216847330313385) -51.0 17.0 turn_to_on_spot 59.52617877584066 -105.81382122415937 2 
2021-06-13 11:06:27.415791 [47.106558333, 7.2166085] 163.99 0.0 (47.106653985807164, 7.216847330313385) -50.0 17.0 turn_to_on_spot 59.52617877584066 -104.46382122415935 2 
2021-06-13 11:06:27.517551 [47.106557833, 7.216608667] 161.1 0.18587397471927064 (47.106653985807164, 7.216847330313385) -48.0 16.0 turn_to_on_spot 59.52617877584066 -101.57382122415936 2 
2021-06-13 11:06:27.619456 [47.106557833, 7.216608667] 157.52 0.18587397471927064 (47.106653985807164, 7.216847330313385) -46.0 15.0 turn_to_on_spot 59.52617877584066 -97.99382122415932 2 
2021-06-13 11:06:27.721051 [47.106557833, 7.216608667] 155.05 0.18587397471927064 (47.106653985807164, 7.216847330313385) -45.0 15.0 turn_to_on_spot 59.52617877584066 -95.52382122415935 2 
