2021-06-13 10:29:21.616104 [47.106693333, 7.216835833] 36.29 1.1872934374527377 None 0 0 Started autonomous drive 
2021-06-13 10:29:24.775644 [47.106694333, 7.216837167] 140.67 1.7412342382016777 (47.106653985807164, 7.216847330313385) 8.0 -24.0 turn_to_on_spot 168.7516251035214 28.081625103521446 2 
2021-06-13 10:29:24.877874 [47.106694333, 7.216837167] 146.62 1.7412342382016777 (47.106653985807164, 7.216847330313385) 7.0 -20.0 turn_to_on_spot 168.7516251035214 22.1316251035214 2 
2021-06-13 10:29:24.979480 [47.106694333, 7.216837167] 149.22 1.7412342382016777 (47.106653985807164, 7.216847330313385) 6.0 -19.0 turn_to_on_spot 168.7516251035214 19.531625103521378 2 
2021-06-13 10:29:25.081103 [47.106694333, 7.216837167] 151.99 1.7412342382016777 (47.106653985807164, 7.216847330313385) 6.0 -17.0 turn_to_on_spot 168.7516251035214 16.761625103521396 2 
2021-06-13 10:29:25.183719 [47.106695167, 7.216838] 154.76 15.028124666707805 (47.106653985807164, 7.216847330313385) 5.0 -16.0 turn_to_on_spot 168.7516251035214 13.991625103521415 2 
2021-06-13 10:29:25.286413 [47.106695167, 7.216838] 160.35 15.028124666707805 (47.106653985807164, 7.216847330313385) 4.0 -13.0 turn_to_on_spot 168.7516251035214 8.401625103521383 2 
2021-06-13 10:29:25.388980 [47.106695167, 7.216838] 161.78 15.028124666707805 (47.106653985807164, 7.216847330313385) 4.0 -12.0 turn_to_on_spot 168.7516251035214 6.971625103521433 2 
2021-06-13 10:29:25.490602 [47.106695167, 7.216838] 165.76 15.028124666707805 (47.106653985807164, 7.216847330313385) 3.0 -10.0 turn_to_on_spot 168.7516251035214 2.9916251035214145 1.9 
2021-06-13 10:29:25.592484 [47.106695167, 7.216838] 169.72 15.028124666707805 (47.106653985807164, 7.216847330313385) 2.0 -7.0 turn_to_on_spot 168.7516251035214 -0.9683748964786218 1.8 
2021-06-13 10:29:25.694290 [47.106695167, 7.216838] 172.36 15.028124666707805 (47.106653985807164, 7.216847330313385) 2.0 -6.0 turn_to_on_spot 168.7516251035214 -3.608374896478608 1.7 
