2021-06-09 16:09:17.292358 [47.106703667, 7.216830667] 332.91 0.0 None 0 0 Started autonomous drive 
2021-06-09 16:09:17.295345 [47.106703667, 7.216830667] 332.91 0.0 (47.106653985807164, 7.216847330313385) -92.0 46.0 turn_to_on_spot 167.14040208578206 -165.76959791421797 2 
2021-06-09 16:09:17.397339 [47.106703667, 7.216830667] 332.91 0.0 (47.106653985807164, 7.216847330313385) -92.0 46.0 turn_to_on_spot 167.14040208578206 -165.76959791421797 2 
2021-06-09 16:09:17.499783 [47.106703667, 7.216830667] 331.89 0.0 (47.106653985807164, 7.216847330313385) -92.0 46.0 turn_to_on_spot 167.14040208578206 -164.74959791421793 2 
2021-06-09 16:09:17.601867 [47.106703667, 7.216830667] 331.89 0.0 (47.106653985807164, 7.216847330313385) -92.0 46.0 turn_to_on_spot 167.14040208578206 -164.74959791421793 2 
2021-06-09 16:09:17.703928 [47.106703667, 7.216830667] 330.88 0.0 (47.106653985807164, 7.216847330313385) -91.0 45.5 turn_to_on_spot 167.14040208578206 -163.73959791421794 2 
2021-06-09 16:09:17.805723 [47.106703667, 7.216830667] 329.81 0.0 (47.106653985807164, 7.216847330313385) -90.0 45.0 turn_to_on_spot 167.14040208578206 -162.66959791421795 2 
2021-06-09 16:09:17.907362 [47.106703667, 7.216830667] 327.41 0.0 (47.106653985807164, 7.216847330313385) -89.0 44.5 turn_to_on_spot 167.14040208578206 -160.26959791421797 2 
2021-06-09 16:09:18.008880 [47.106703667, 7.216830667] 325.87 0.0 (47.106653985807164, 7.216847330313385) -88.0 44.0 turn_to_on_spot 167.14040208578206 -158.72959791421795 2 
2021-06-09 16:09:18.110531 [47.106703667, 7.216830667] 323.18 0.0 (47.106653985807164, 7.216847330313385) -87.0 43.5 turn_to_on_spot 167.14040208578206 -156.03959791421795 2 
2021-06-09 16:09:18.212553 [47.106703667, 7.216830667] 318.42 0.0 (47.106653985807164, 7.216847330313385) -84.0 42.0 turn_to_on_spot 167.14040208578206 -151.27959791421796 2 
2021-06-09 16:09:18.314807 [47.106703667, 7.216830667] 314.87 0.0 (47.106653985807164, 7.216847330313385) -82.0 41.0 turn_to_on_spot 167.14040208578206 -147.72959791421795 2 
2021-06-09 16:09:18.417075 [47.106703667, 7.216830667] 309.08 0.0 (47.106653985807164, 7.216847330313385) -79.0 39.5 turn_to_on_spot 167.14040208578206 -141.93959791421793 2 
2021-06-09 16:09:18.518636 [47.106703667, 7.216830667] 305.15 0.0 (47.106653985807164, 7.216847330313385) -77.0 38.5 turn_to_on_spot 167.14040208578206 -138.00959791421792 2 
2021-06-09 16:09:18.620257 [47.106703667, 7.216830667] 298.13 0.0 (47.106653985807164, 7.216847330313385) -73.0 36.5 turn_to_on_spot 167.14040208578206 -130.98959791421794 2 
2021-06-09 16:09:18.721825 [47.106703667, 7.216830667] 291.15 0.0 (47.106653985807164, 7.216847330313385) -69.0 34.5 turn_to_on_spot 167.14040208578206 -124.00959791421792 2 
2021-06-09 16:09:18.823430 [47.106703667, 7.216830667] 286.45 0.0 (47.106653985807164, 7.216847330313385) -66.0 33.0 turn_to_on_spot 167.14040208578206 -119.30959791421793 2 
2021-06-09 16:09:18.924971 [47.106703667, 7.216830667] 282.79 0.0 (47.106653985807164, 7.216847330313385) -64.0 32.0 turn_to_on_spot 167.14040208578206 -115.64959791421796 2 
2021-06-09 16:09:19.026430 [47.106703667, 7.216830667] 278.87 0.0 (47.106653985807164, 7.216847330313385) -62.0 31.0 turn_to_on_spot 167.14040208578206 -111.72959791421795 2 
2021-06-09 16:09:19.128256 [47.1067045, 7.216829167] 268.21 0.17276408933298534 (47.106653985807164, 7.216847330313385) -56.0 28.0 turn_to_on_spot 167.14040208578206 -101.06959791421792 2 
2021-06-09 16:09:19.231307 [47.1067045, 7.216829167] 260.65 0.0 (47.106653985807164, 7.216847330313385) -52.0 26.0 turn_to_on_spot 167.14040208578206 -93.50959791421792 2 
2021-06-09 16:09:19.332989 [47.1067045, 7.216829167] 256.04 0.0 (47.106653985807164, 7.216847330313385) -49.0 24.5 turn_to_on_spot 167.14040208578206 -88.89959791421796 2 
2021-06-09 16:09:19.434560 [47.1067045, 7.216829167] 250.19 0.0 (47.106653985807164, 7.216847330313385) -46.0 23.0 turn_to_on_spot 167.14040208578206 -83.04959791421794 2 
2021-06-09 16:09:19.536079 [47.1067045, 7.216829167] 241.75 0.0 (47.106653985807164, 7.216847330313385) -41.0 20.5 turn_to_on_spot 167.14040208578206 -74.60959791421794 2 
2021-06-09 16:09:19.637753 [47.1067045, 7.216829167] 239.21 0.0 (47.106653985807164, 7.216847330313385) -40.0 20.0 turn_to_on_spot 167.14040208578206 -72.06959791421798 2 
2021-06-09 16:09:19.739258 [47.1067045, 7.216829167] 230.35 0.0 (47.106653985807164, 7.216847330313385) -35.0 17.5 turn_to_on_spot 167.14040208578206 -63.209597914217966 2 
